Microsoft (R) COFF/PE Dumper Version 8.00.50727.42
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file c:\windows\system32\ntoskrnl.exe
       1129  464 000DB2D9 RtlPrefixString
       1130  465 001054BC RtlPrefixUnicodeString
       1131  466 000B2C76 RtlQueryAtomInAtomTable
       1132  467 000BF828 RtlQueryRegistryValues
       1133  468 000FCDA0 RtlQueryTimeZoneInformation
       1134  469 000022E3 RtlRaiseException
       1135  46A 000A9878 RtlRandom
       1136  46B 00069C5F RtlRandomEx
       1137  46C 00067B87 RtlRealPredecessor
       1138  46D 00020085 RtlRealSuccessor
       1139  46E 000AEE0A RtlRemoveUnicodePrefix
       1140  46F 0015C7BA RtlReserveChunk
       1141  470 000287E4 RtlSecondsSince1970ToTime
       1142  471 00069D1C RtlSecondsSince1980ToTime
       1144  472 000E6522 RtlSelfRelativeToAbsoluteSD
       1143  473 001593E7 RtlSelfRelativeToAbsoluteSD2
       1145  474 00035EAC RtlSetAllBits
       1146  475 00010E38 RtlSetBit
       1147  476 000135AF RtlSetBits
       1148  477 000B71FD RtlSetDaclSecurityDescriptor
       1149  478 000D2B56 RtlSetGroupSecurityDescriptor
       1150  479 000C4B48 RtlSetOwnerSecurityDescriptor
       1151  47A 000D2B02 RtlSetSaclSecurityDescriptor
       1152  47B 0015C543 RtlSetTimeZoneInformation
       1153  47C 00159E3E RtlSizeHeap
       1154  47D 00012A60 RtlSplay
       1155  47E 000C30A0 RtlStringFromGUID
       1156  47F 0015B65C RtlSubAuthorityCountSid
       1157  480 000CAF0A RtlSubAuthoritySid
       1158  481 00021E02 RtlSubtreePredecessor
       1159  482 00067B4D RtlSubtreeSuccessor
       1160  483 000672CB RtlTestBit
       1161  484 0003D279 RtlTimeFieldsToTime
       1162  485 0015D64D RtlTimeToElapsedTimeFields
       1163  486 00069D5B RtlTimeToSecondsSince1970
       1164  487 00069CD1 RtlTimeToSecondsSince1980
       1165  488 00034141 RtlTimeToTimeFields
       1166  489 0006A3E7 RtlTraceDatabaseAdd
       1167  48A 0006A00A RtlTraceDatabaseCreate
       1168  48B 0006A0FB RtlTraceDatabaseDestroy
       1169  48C 00069F7B RtlTraceDatabaseEnumerate
       1170  48D 0006A1E3 RtlTraceDatabaseFind
       1171  48E 0006A3BD RtlTraceDatabaseLock
       1172  48F 0006A3D2 RtlTraceDatabaseUnlock
       1173  490 0006A194 RtlTraceDatabaseValidate
         54  491 0000405E RtlUlongByteSwap
         55  492 0000406E RtlUlonglongByteSwap
       1174  493 001083B4 RtlUnicodeStringToAnsiSize
       1175  494 000A7967 RtlUnicodeStringToAnsiString
       1176  495 000BAE7D RtlUnicodeStringToCountedOemString
       1177  496 000C78B4 RtlUnicodeStringToInteger
       1178  497 001083B4 RtlUnicodeStringToOemSize
       1179  498 00103FB2 RtlUnicodeStringToOemString
       1180  499 001584DD RtlUnicodeToCustomCPN
       1181  49A 000A77BE RtlUnicodeToMultiByteN
       1182  49B 001064AE RtlUnicodeToMultiByteSize
       1183  49C 000BABF6 RtlUnicodeToOemN
       1184  49D 0015D4F2 RtlUnlockBootStatusData
       1185  49E 0001D9BB RtlUnwind
       1186  49F 0008EFC0 RtlUpcaseUnicodeChar
       1187  4A0 0008F052 RtlUpcaseUnicodeString
       1188  4A1 0015B1F1 RtlUpcaseUnicodeStringToAnsiString
       1189  4A2 0015B384 RtlUpcaseUnicodeStringToCountedOemString
       1190  4A3 000C5FB7 RtlUpcaseUnicodeStringToOemString
       1191  4A4 00158693 RtlUpcaseUnicodeToCustomCPN
       1192  4A5 000FFCB7 RtlUpcaseUnicodeToMultiByteN
       1193  4A6 000C58DA RtlUpcaseUnicodeToOemN
       1194  4A7 000CAD7B RtlUpperChar
       1195  4A8 000F3EB2 RtlUpperString
         56  4A9 0000404E RtlUshortByteSwap
       1196  4AA 000FF113 RtlValidRelativeSecurityDescriptor
       1197  4AB 00103742 RtlValidSecurityDescriptor
       1198  4AC 0009E362 RtlValidSid
       1199  4AD 000333F1 RtlVerifyVersionInfo
       1200  4AE 0005718A RtlVolumeDeviceToDosName
       1201  4AF 00025B71 RtlWalkFrameChain
       1202  4B0 000DB1B2 RtlWriteRegistryValue
       1203  4B1 00159B7D RtlZeroHeap
       1204  4B2 00003C9A RtlZeroMemory
       1205  4B3 0015AE7F RtlxAnsiStringToUnicodeSize
       1206  4B4 0015AE7F RtlxOemStringToUnicodeSize
       1207  4B5 001083B4 RtlxUnicodeStringToAnsiSize
       1208  4B6 001083B4 RtlxUnicodeStringToOemSize
       1209  4B7 0008CCC8 SeAccessCheck
       1210  4B8 000A260B SeAppendPrivileges
       1211  4B9 0009E259 SeAssignSecurity
       1212  4BA 0015F800 SeAssignSecurityEx
       1213  4BB 0016014B SeAuditHardLinkCreation
       1214  4BC 001617F1 SeAuditingFileEvents
       1215  4BD 000935F9 SeAuditingFileEventsWithContext
       1216  4BE 0016176C SeAuditingFileOrGlobalEvents
       1217  4BF 00161849 SeAuditingHardLinkEvents
       1218  4C0 001618B2 SeAuditingHardLinkEventsWithContext
       1219  4C1 000A0BE1 SeCaptureSecurityDescriptor
       1220  4C2 0009330C SeCaptureSubjectContext
       1221  4C3 00161206 SeCloseObjectAuditAlarm
       1222  4C4 0008C541 SeCreateAccessState
       1223  4C5 000A1604 SeCreateClientSecurity
       1224  4C6 00107A71 SeCreateClientSecurityFromSubjectContext
       1225  4C7 000BA91D SeDeassignSecurity
       1226  4C8 0008C59E SeDeleteAccessState
       1227  4C9 00161253 SeDeleteObjectAuditAlarm
       1228  4CA 001B6650 SeExports
       1229  4CB 0015F358 SeFilterToken
       1230  4CC 000A0BC9 SeFreePrivileges
       1231  4CD 001620CA SeImpersonateClient
       1232  4CE 000A14D2 SeImpersonateClientEx
       1233  4CF 0008CD9D SeLockSubjectContext
       1234  4D0 00162595 SeMarkLogonSessionForTerminationNotification
       1235  4D1 0008DED0 SeOpenObjectAuditAlarm
       1236  4D2 00161B0F SeOpenObjectForDeleteAuditAlarm
       1237  4D3 0009357B SePrivilegeCheck
       1238  4D4 000A25D6 SePrivilegeObjectAuditAlarm
       1239  4D5 001B6550 SePublicDefaultDacl
       1240  4D6 000A363D SeQueryAuthenticationIdToken
       1241  4D7 000AEBAE SeQueryInformationToken
       1242  4D8 000944CB SeQuerySecurityDescriptorInfo
       1243  4D9 000A61E0 SeQuerySessionIdToken
       1244  4DA 0010227C SeRegisterLogonSessionTerminatedRoutine
       1245  4DB 0009E4DD SeReleaseSecurityDescriptor
       1246  4DC 0008C572 SeReleaseSubjectContext
       1247  4DD 000986EC SeSetAccessStateGenericMapping
       1248  4DE 000C47C9 SeSetSecurityDescriptorInfo
       1249  4DF 0016289B SeSetSecurityDescriptorInfoEx
       1250  4E0 0009BC9C SeSinglePrivilegeCheck
       1251  4E1 001B6560 SeSystemDefaultDacl
       1252  4E2 0009ED8C SeTokenImpersonationLevel
       1253  4E3 001628EB SeTokenIsAdmin
       1254  4E4 0009019D SeTokenIsRestricted
       1255  4E5 000AC8D3 SeTokenIsWriteRestricted
       1256  4E6 001B67E0 SeTokenObjectType
       1257  4E7 00093334 SeTokenType
       1258  4E8 0008CDD2 SeUnlockSubjectContext
       1259  4E9 001624CE SeUnregisterLogonSessionTerminatedRoutine
       1260  4EA 000A284C SeValidSecurityDescriptor
       1261  4EB 00033382 VerSetConditionMask
       1262  4EC 0006BC71 VfFailDeviceNode
       1263  4ED 0006BCF3 VfFailDriver
       1264  4EE 0006BCB2 VfFailSystemBIOS
       1265  4EF 0003C4FB VfIsVerificationEnabled
       1266  4F0 00002142 WRITE_REGISTER_BUFFER_UCHAR
       1267  4F1 00002182 WRITE_REGISTER_BUFFER_ULONG
       1268  4F2 00002162 WRITE_REGISTER_BUFFER_USHORT
       1269  4F3 00002106 WRITE_REGISTER_UCHAR
       1270  4F4 0000212E WRITE_REGISTER_ULONG
       1271  4F5 0000211A WRITE_REGISTER_USHORT
       1272  4F6 001664E7 WmiFlushTrace
         57  4F7 0006D5DC WmiGetClock
       1273  4F8 00165B04 WmiQueryTrace
       1274  4F9 00166582 WmiQueryTraceInformation
       1275  4FA 00166A3C WmiStartTrace
       1276  4FB 00165B2F WmiStopTrace
       1277  4FC 0006DFB7 WmiTraceMessage
       1278  4FD 0006DCC1 WmiTraceMessageVa
       1279  4FE 00165D72 WmiUpdateTrace
       1280  4FF 0006F527 XIPDispatch
       1281  500 000056E4 ZwAccessCheckAndAuditAlarm
       1282  501 00005770 ZwAddBootEntry
       1283  502 00005798 ZwAdjustPrivilegesToken
       1284  503 000057C0 ZwAlertThread
       1285  504 00005810 ZwAllocateVirtualMemory
       1286  505 00005838 ZwAssignProcessToJobObject
       1287  506 00005874 ZwCancelIoFile
       1288  507 00005888 ZwCancelTimer
       1289  508 0000589C ZwClearEvent
       1290  509 000058B0 ZwClose
       1291  50A 000058C4 ZwCloseObjectAuditAlarm
       1292  50B 00005928 ZwConnectPort
       1293  50C 00005964 ZwCreateDirectoryObject
       1294  50D 00005978 ZwCreateEvent
       1295  50E 000059A0 ZwCreateFile
       1296  50F 000059C8 ZwCreateJobObject
       1297  510 000059F0 ZwCreateKey
       1298  511 00005AA4 ZwCreateSection
       1299  512 00005ACC ZwCreateSymbolicLinkObject
       1300  513 00005AF4 ZwCreateTimer
       1301  514 00005B80 ZwDeleteBootEntry
       1302  515 00005B94 ZwDeleteFile
       1303  516 00005BA8 ZwDeleteKey
       1304  517 00005BD0 ZwDeleteValueKey
       1305  518 00005BE4 ZwDeviceIoControlFile
       1306  519 00005BF8 ZwDisplayString
       1307  51A 00005C0C ZwDuplicateObject
       1308  51B 00005C20 ZwDuplicateToken
       1309  51C 00005C34 ZwEnumerateBootEntries
       1310  51D 00005C48 ZwEnumerateKey
       1311  51E 00005C70 ZwEnumerateValueKey
       1312  51F 00005CD4 ZwFlushInstructionCache
       1313  520 00005CE8 ZwFlushKey
       1314  521 00005CFC ZwFlushVirtualMemory
       1315  522 00005D38 ZwFreeVirtualMemory
       1316  523 00005D4C ZwFsControlFile
       1317  524 00005E00 ZwInitiatePowerAction
       1318  525 00005E14 ZwIsProcessInJob
       1319  526 00005E50 ZwLoadDriver
       1320  527 00005E64 ZwLoadKey
       1321  528 00005EF0 ZwMakeTemporaryObject
       1322  529 00005F2C ZwMapViewOfSection
       1323  52A 00005F68 ZwNotifyChangeKey
       1324  52B 00005F90 ZwOpenDirectoryObject
       1325  52C 00005FA4 ZwOpenEvent
       1326  52D 00005FCC ZwOpenFile
       1327  52E 00005FF4 ZwOpenJobObject
       1328  52F 00006008 ZwOpenKey
       1329  530 00006044 ZwOpenProcess
       1330  531 00006058 ZwOpenProcessToken
       1331  532 0000606C ZwOpenProcessTokenEx
       1332  533 00006080 ZwOpenSection
       1333  534 000060A8 ZwOpenSymbolicLinkObject
       1334  535 000060BC ZwOpenThread
       1335  536 000060D0 ZwOpenThreadToken
       1336  537 000060E4 ZwOpenThreadTokenEx
       1337  538 000060F8 ZwOpenTimer
       1338  539 00006120 ZwPowerInformation
       1339  53A 00006184 ZwPulseEvent
       1340  53B 000061AC ZwQueryBootEntryOrder
       1341  53C 000061C0 ZwQueryBootOptions
       1342  53D 000061E8 ZwQueryDefaultLocale
       1343  53E 000061FC ZwQueryDefaultUILanguage
       1344  53F 00006210 ZwQueryDirectoryFile
       1345  540 00006224 ZwQueryDirectoryObject
       1346  541 00006238 ZwQueryEaFile
       1347  542 00006260 ZwQueryFullAttributesFile
       1348  543 00006288 ZwQueryInformationFile
       1349  544 0000629C ZwQueryInformationJobObject
       1350  545 000062C4 ZwQueryInformationProcess
       1351  546 000062D8 ZwQueryInformationThread
       1352  547 000062EC ZwQueryInformationToken
       1353  548 00006300 ZwQueryInstallUILanguage
       1354  549 0000633C ZwQueryKey
       1355  54A 00006378 ZwQueryObject
       1356  54B 000063C8 ZwQuerySection
       1357  54C 000063DC ZwQuerySecurityObject
       1358  54D 00006404 ZwQuerySymbolicLinkObject
       1359  54E 00006440 ZwQuerySystemInformation
       1360  54F 00006490 ZwQueryValueKey
       1361  550 000064B8 ZwQueryVolumeInformationFile
       1362  551 00006508 ZwReadFile
       1363  552 000065D0 ZwReplaceKey
       1364  553 0000665C ZwRequestWaitReplyPort
       1365  554 00006684 ZwResetEvent
       1366  555 000066AC ZwRestoreKey
       1367  556 000066E8 ZwSaveKey
       1368  557 000066FC ZwSaveKeyEx
       1369  558 00006738 ZwSetBootEntryOrder
       1370  559 0000674C ZwSetBootOptions
       1371  55A 0000679C ZwSetDefaultLocale
       1372  55B 000067B0 ZwSetDefaultUILanguage
       1373  55C 000067C4 ZwSetEaFile
       1374  55D 000067D8 ZwSetEvent
       1375  55E 0000683C ZwSetInformationFile
       1376  55F 00006850 ZwSetInformationJobObject
       1377  560 00006878 ZwSetInformationObject
       1378  561 0000688C ZwSetInformationProcess
       1379  562 000068A0 ZwSetInformationThread
       1380  563 00006940 ZwSetSecurityObject
       1381  564 0000697C ZwSetSystemInformation
       1382  565 000069A4 ZwSetSystemTime
       1383  566 000069CC ZwSetTimer
       1384  567 00006A08 ZwSetValueKey
       1385  568 00006A1C ZwSetVolumeInformationFile
       1386  569 00006ABC ZwTerminateJobObject
       1387  56A 00006AD0 ZwTerminateProcess
       1388  56B 00006B20 ZwTranslateFilePath
       1389  56C 00006B34 ZwUnloadDriver
       1390  56D 00006B48 ZwUnloadKey
       1391  56E 00006B98 ZwUnmapViewOfSection
       1392  56F 00006BD4 ZwWaitForMultipleObjects
       1393  570 00006BE8 ZwWaitForSingleObject
       1394  571 00006C24 ZwWriteFile
       1395  572 00006C74 ZwYieldExecution
       1396  573 0000BF0A _CIcos
       1397  574 0000BFC2 _CIsin
       1398  575 0000B161 _CIsqrt
       1399  576 0000B65C _abnormal_termination
       1400  577 000023DF _alldiv
       1401  578 00002489 _alldvrm
       1402  579 00002568 _allmul
       1403  57A 0000259C _alloca_probe
       1404  57B 000025D9 _allrem
       1405  57C 0000268D _allshl
       1406  57D 000026AC _allshr
       1407  57E 000026CD _aulldiv
       1408  57F 00002735 _aulldvrm
       1409  580 000027CA _aullrem
       1410  581 0000283F _aullshr
       1411  582 00002868 _except_handler2
       1412  583 0000B490 _except_handler3
       1413  584 0000B591 _global_unwind2
       1414  585 0006F6C2 _itoa
       1415  586 0006F752 _itow
       1416  587 0000B5EC _local_unwind2
       1417  588 0006F4B0 _purecall
       1418  589 00033F6E _snprintf
       1419  58A 00022461 _snwprintf
       1420  58B 0002C13B _stricmp
       1421  58C 0006F79A _strlwr
       1422  58D 000252D1 _strnicmp
       1423  58E 00002916 _strnset
       1424  58F 0000293F _strrev
       1425  590 0000296F _strset
       1426  591 0003C5BB _strupr
       1427  592 00029623 _vsnprintf
       1428  593 0006F804 _vsnwprintf
       1429  594 0000F46D _wcsicmp
       1430  595 0006F88A _wcslwr
       1431  596 00021E94 _wcsnicmp
       1432  597 0006F8CC _wcsnset
       1433  598 0006F902 _wcsrev
       1434  599 00035367 _wcsupr
       1435  59A 0003C94D atoi
       1436  59B 0003C95A atol
       1437  59C 0006FABE isdigit
       1438  59D 0006FA84 islower
       1439  59E 0006FB6C isprint
       1440  59F 0006FB33 isspace
       1441  5A0 0006FA4C isupper
       1442  5A1 0006FAF6 isxdigit
       1443  5A2 0006FBC6 mbstowcs
       1444  5A3 000242E1 mbtowc
       1445  5A4 0000298F memchr
       1446  5A5 00002A36 memcpy
       1447  5A6 00002D75 memmove
       1448  5A7 000030B5 memset
       1449  5A8 00034A37 qsort
       1450  5A9 0006FCB2 rand
       1451  5AA 00032955 sprintf
       1452  5AB 0006FC99 srand
       1453  5AC 0000311D strcat
       1454  5AD 0000C101 strchr
       1455  5AE 00003203 strcmp
       1456  5AF 0000310D strcpy
       1457  5B0 00003288 strlen
       1458  5B1 00003303 strncat
       1459  5B2 00003428 strncmp
       1460  5B3 00003460 strncpy
       1461  5B4 00003560 strrchr
       1462  5B5 00003587 strspn
       1463  5B6 0000C072 strstr
       1464  5B7 0001BA14 swprintf
       1465  5B8 0006FD80 tolower
       1466  5B9 00031B66 toupper
       1467  5BA 0006FDC5 towlower
       1468  5BB 0006FDEE towupper
       1469  5BC 000671CF vDbgPrintEx
       1470  5BD 000296A4 vDbgPrintExWithPrefix
       1471  5BE 000347D8 vsprintf
       1472  5BF 0002BC38 wcscat
       1473  5C0 0002495E wcschr
       1474  5C1 00010740 wcscmp
       1475  5C2 00019EAE wcscpy
       1476  5C3 0006FE24 wcscspn
       1477  5C4 00010408 wcslen
       1478  5C5 000337D1 wcsncat
       1479  5C6 000290F0 wcsncmp
       1480  5C7 0002C48B wcsncpy
       1481  5C8 00032C13 wcsrchr
       1482  5C9 0006FE94 wcsspn
       1483  5CA 00027213 wcsstr
       1484  5CB 0006FEF0 wcstombs
       1485  5CC 000329FA wctomb
DUMPBIN : warning LNK4078: multiple 'PAGEKD' sections found with different attributes (C0000040)

  Summary

       16D00 .data
        B580 .edata
        FA00 .reloc
       10780 .rsrc
       71A00 .text
       2D780 INIT
         700 MISYSPTE
       F8E80 PAGE
         200 PAGECONS
        1580 PAGEDATA
        1E00 PAGEHDLS
        4080 PAGEKD
        C080 PAGEKD
        E380 PAGELK
         C80 PAGESPEC
        3480 PAGEVRFC
         680 PAGEVRFD
        F200 PAGEVRFY
        1800 PAGEWMI
        1600 POOLCODE
        1300 POOLMI
