Microsoft (R) COFF/PE Dumper Version 8.00.50727.42
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file c:\windows\system32\ntkrnlpa.exe
       1132  467 001051B0 RtlQueryRegistryValues
       1133  468 001056E2 RtlQueryTimeZoneInformation
       1134  469 00054D28 RtlRaiseException
       1135  46A 00107152 RtlRandom
       1136  46B 00054DE6 RtlRandomEx
       1137  46C 00051CF2 RtlRealPredecessor
       1138  46D 00051CB4 RtlRealSuccessor
       1139  46E 000F96EC RtlRemoveUnicodePrefix
       1140  46F 00105AD0 RtlReserveChunk
       1141  470 000552A8 RtlSecondsSince1970ToTime
       1142  471 0005522A RtlSecondsSince1980ToTime
       1144  472 000F9FA0 RtlSelfRelativeToAbsoluteSD
       1143  473 000F9F20 RtlSelfRelativeToAbsoluteSD2
       1145  474 000507DC RtlSetAllBits
       1146  475 0005075C RtlSetBit
       1147  476 00050D9C RtlSetBits
       1148  477 001011F8 RtlSetDaclSecurityDescriptor
       1149  478 00101426 RtlSetGroupSecurityDescriptor
       1150  479 0010138C RtlSetOwnerSecurityDescriptor
       1151  47A 001012C2 RtlSetSaclSecurityDescriptor
       1152  47B 0010580A RtlSetTimeZoneInformation
       1153  47C 000FD050 RtlSizeHeap
       1154  47D 00051B00 RtlSplay
       1155  47E 00106428 RtlStringFromGUID
       1156  47F 00100C9A RtlSubAuthorityCountSid
       1157  480 00100C82 RtlSubAuthoritySid
       1158  481 00051C90 RtlSubtreePredecessor
       1159  482 00051C6C RtlSubtreeSuccessor
       1160  483 00050782 RtlTestBit
       1161  484 00055042 RtlTimeFieldsToTime
       1162  485 001071A4 RtlTimeToElapsedTimeFields
       1163  486 00055262 RtlTimeToSecondsSince1970
       1164  487 000551E4 RtlTimeToSecondsSince1980
       1165  488 00054F42 RtlTimeToTimeFields
       1166  489 000558C8 RtlTraceDatabaseAdd
       1167  48A 0005550E RtlTraceDatabaseCreate
       1168  48B 0005562E RtlTraceDatabaseDestroy
       1169  48C 00055486 RtlTraceDatabaseEnumerate
       1170  48D 000556D8 RtlTraceDatabaseFind
       1171  48E 000558A8 RtlTraceDatabaseLock
       1172  48F 000558B8 RtlTraceDatabaseUnlock
       1173  490 0005568E RtlTraceDatabaseValidate
         54  491 0006A770 RtlUlongByteSwap
         55  492 0006A780 RtlUlonglongByteSwap
       1174  493 000FF8AC RtlUnicodeStringToAnsiSize
       1175  494 00100140 RtlUnicodeStringToAnsiString
       1176  495 001005A2 RtlUnicodeStringToCountedOemString
       1177  496 00103F80 RtlUnicodeStringToInteger
       1178  497 000FF8AC RtlUnicodeStringToOemSize
       1179  498 0010036C RtlUnicodeStringToOemString
       1180  499 000F8810 RtlUnicodeToCustomCPN
       1181  49A 000F7152 RtlUnicodeToMultiByteN
       1182  49B 000F7102 RtlUnicodeToMultiByteSize
       1183  49C 000F7B40 RtlUnicodeToOemN
       1184  49D 00106F44 RtlUnlockBootStatusData
       1185  49E 00055AD6 RtlUnwind
       1186  49F 000FF7AA RtlUpcaseUnicodeChar
       1187  4A0 000FF602 RtlUpcaseUnicodeString
       1188  4A1 0010020A RtlUpcaseUnicodeStringToAnsiString
       1189  4A2 00100676 RtlUpcaseUnicodeStringToCountedOemString
       1190  4A3 0010041C RtlUpcaseUnicodeStringToOemString
       1191  4A4 000F89C0 RtlUpcaseUnicodeToCustomCPN
       1192  4A5 000F72F4 RtlUpcaseUnicodeToMultiByteN
       1193  4A6 000F7CF2 RtlUpcaseUnicodeToOemN
       1194  4A7 00100800 RtlUpperChar
       1195  4A8 00100A70 RtlUpperString
         56  4A9 0006A760 RtlUshortByteSwap
       1196  4AA 001017E8 RtlValidRelativeSecurityDescriptor
       1197  4AB 00101062 RtlValidSecurityDescriptor
       1198  4AC 00100B6A RtlValidSid
       1199  4AD 00052B2E RtlVerifyVersionInfo
       1200  4AE 00019C78 RtlVolumeDeviceToDosName
       1201  4AF 00051826 RtlWalkFrameChain
       1202  4B0 0010558A RtlWriteRegistryValue
       1203  4B1 000FC408 RtlZeroHeap
       1204  4B2 0006A3A0 RtlZeroMemory
       1205  4B3 000FF8D2 RtlxAnsiStringToUnicodeSize
       1206  4B4 000FF8D2 RtlxOemStringToUnicodeSize
       1207  4B5 000FF8AC RtlxUnicodeStringToAnsiSize
       1208  4B6 000FF8AC RtlxUnicodeStringToOemSize
       1209  4B7 0010E7BC SeAccessCheck
       1210  4B8 0010EB0A SeAppendPrivileges
       1211  4B9 0010EC22 SeAssignSecurity
       1212  4BA 0010EC7A SeAssignSecurityEx
       1213  4BB 0010FB74 SeAuditHardLinkCreation
       1214  4BC 001113C8 SeAuditingFileEvents
       1215  4BD 00111416 SeAuditingFileEventsWithContext
       1216  4BE 00111348 SeAuditingFileOrGlobalEvents
       1217  4BF 00111458 SeAuditingHardLinkEvents
       1218  4C0 001114BC SeAuditingHardLinkEventsWithContext
       1219  4C1 00112EB6 SeCaptureSecurityDescriptor
       1220  4C2 00114528 SeCaptureSubjectContext
       1221  4C3 00110E1C SeCloseObjectAuditAlarm
       1222  4C4 0010EBF0 SeCreateAccessState
       1223  4C5 00114864 SeCreateClientSecurity
       1224  4C6 001148BE SeCreateClientSecurityFromSubjectContext
       1225  4C7 0010ECB8 SeDeassignSecurity
       1226  4C8 0010E9B2 SeDeleteAccessState
       1227  4C9 00110E62 SeDeleteObjectAuditAlarm
       1228  4CA 001977EC SeExports
       1229  4CB 0010AF4E SeFilterToken
       1230  4CC 0010DE34 SeFreePrivileges
       1231  4CD 00114958 SeImpersonateClient
       1232  4CE 00114918 SeImpersonateClientEx
       1233  4CF 00114550 SeLockSubjectContext
       1234  4D0 00114F04 SeMarkLogonSessionForTerminationNotification
       1235  4D1 001128C8 SeOpenObjectAuditAlarm
       1236  4D2 00112B8E SeOpenObjectForDeleteAuditAlarm
       1237  4D3 001158F2 SePrivilegeCheck
       1238  4D4 00110D24 SePrivilegeObjectAuditAlarm
       1239  4D5 001976E4 SePublicDefaultDacl
       1240  4D6 0010B582 SeQueryAuthenticationIdToken
       1241  4D7 0010CB32 SeQueryInformationToken
       1242  4D8 00115CA8 SeQuerySecurityDescriptorInfo
       1243  4D9 0010B5E4 SeQuerySessionIdToken
       1244  4DA 00114DB0 SeRegisterLogonSessionTerminatedRoutine
       1245  4DB 00113522 SeReleaseSecurityDescriptor
       1246  4DC 001144A6 SeReleaseSubjectContext
       1247  4DD 0010E9FE SeSetAccessStateGenericMapping
       1248  4DE 00115C36 SeSetSecurityDescriptorInfo
       1249  4DF 00115C6E SeSetSecurityDescriptorInfoEx
       1250  4E0 00115AFC SeSinglePrivilegeCheck
       1251  4E1 001976F4 SeSystemDefaultDacl
       1252  4E2 00116058 SeTokenImpersonationLevel
       1253  4E3 0011601C SeTokenIsAdmin
       1254  4E4 0011603A SeTokenIsRestricted
       1255  4E5 00116DB8 SeTokenIsWriteRestricted
       1256  4E6 0019797C SeTokenObjectType
       1257  4E7 00116004 SeTokenType
       1258  4E8 0011459A SeUnlockSubjectContext
       1259  4E9 00114E42 SeUnregisterLogonSessionTerminatedRoutine
       1260  4EA 00114310 SeValidSecurityDescriptor
       1261  4EB 00052AF0 VerSetConditionMask
       1262  4EC 00057BF4 VfFailDeviceNode
       1263  4ED 00057C6C VfFailDriver
       1264  4EE 00057C30 VfFailSystemBIOS
       1265  4EF 00057B9E VfIsVerificationEnabled
       1266  4F0 0005036C WRITE_REGISTER_BUFFER_UCHAR
       1267  4F1 000503AC WRITE_REGISTER_BUFFER_ULONG
       1268  4F2 0005038C WRITE_REGISTER_BUFFER_USHORT
       1269  4F3 00050330 WRITE_REGISTER_UCHAR
       1270  4F4 00050358 WRITE_REGISTER_ULONG
       1271  4F5 00050344 WRITE_REGISTER_USHORT
       1272  4F6 0011C594 WmiFlushTrace
         57  4F7 00059256 WmiGetClock
       1273  4F8 0011BBCA WmiQueryTrace
       1274  4F9 0011C62A WmiQueryTraceInformation
       1275  4FA 0011CAD0 WmiStartTrace
       1276  4FB 0011BBF0 WmiStopTrace
       1277  4FC 00059BE8 WmiTraceMessage
       1278  4FD 0005990E WmiTraceMessageVa
       1279  4FE 0011BE2E WmiUpdateTrace
       1280  4FF 0005D1CE XIPDispatch
       1281  500 00026468 ZwAccessCheckAndAuditAlarm
       1282  501 000264F4 ZwAddBootEntry
       1283  502 0002651C ZwAdjustPrivilegesToken
       1284  503 00026544 ZwAlertThread
       1285  504 00026594 ZwAllocateVirtualMemory
       1286  505 000265BC ZwAssignProcessToJobObject
       1287  506 000265F8 ZwCancelIoFile
       1288  507 0002660C ZwCancelTimer
       1289  508 00026620 ZwClearEvent
       1290  509 00026634 ZwClose
       1291  50A 00026648 ZwCloseObjectAuditAlarm
       1292  50B 000266AC ZwConnectPort
       1293  50C 000266E8 ZwCreateDirectoryObject
       1294  50D 000266FC ZwCreateEvent
       1295  50E 00026724 ZwCreateFile
       1296  50F 0002674C ZwCreateJobObject
       1297  510 00026774 ZwCreateKey
       1298  511 00026828 ZwCreateSection
       1299  512 00026850 ZwCreateSymbolicLinkObject
       1300  513 00026878 ZwCreateTimer
       1301  514 00026904 ZwDeleteBootEntry
       1302  515 00026918 ZwDeleteFile
       1303  516 0002692C ZwDeleteKey
       1304  517 00026954 ZwDeleteValueKey
       1305  518 00026968 ZwDeviceIoControlFile
       1306  519 0002697C ZwDisplayString
       1307  51A 00026990 ZwDuplicateObject
       1308  51B 000269A4 ZwDuplicateToken
       1309  51C 000269B8 ZwEnumerateBootEntries
       1310  51D 000269CC ZwEnumerateKey
       1311  51E 000269F4 ZwEnumerateValueKey
       1312  51F 00026A58 ZwFlushInstructionCache
       1313  520 00026A6C ZwFlushKey
       1314  521 00026A80 ZwFlushVirtualMemory
       1315  522 00026ABC ZwFreeVirtualMemory
       1316  523 00026AD0 ZwFsControlFile
       1317  524 00026B84 ZwInitiatePowerAction
       1318  525 00026B98 ZwIsProcessInJob
       1319  526 00026BD4 ZwLoadDriver
       1320  527 00026BE8 ZwLoadKey
       1321  528 00026C74 ZwMakeTemporaryObject
       1322  529 00026CB0 ZwMapViewOfSection
       1323  52A 00026CEC ZwNotifyChangeKey
       1324  52B 00026D14 ZwOpenDirectoryObject
       1325  52C 00026D28 ZwOpenEvent
       1326  52D 00026D50 ZwOpenFile
       1327  52E 00026D78 ZwOpenJobObject
       1328  52F 00026D8C ZwOpenKey
       1329  530 00026DC8 ZwOpenProcess
       1330  531 00026DDC ZwOpenProcessToken
       1331  532 00026DF0 ZwOpenProcessTokenEx
       1332  533 00026E04 ZwOpenSection
       1333  534 00026E2C ZwOpenSymbolicLinkObject
       1334  535 00026E40 ZwOpenThread
       1335  536 00026E54 ZwOpenThreadToken
       1336  537 00026E68 ZwOpenThreadTokenEx
       1337  538 00026E7C ZwOpenTimer
       1338  539 00026EA4 ZwPowerInformation
       1339  53A 00026F08 ZwPulseEvent
       1340  53B 00026F30 ZwQueryBootEntryOrder
       1341  53C 00026F44 ZwQueryBootOptions
       1342  53D 00026F6C ZwQueryDefaultLocale
       1343  53E 00026F80 ZwQueryDefaultUILanguage
       1344  53F 00026F94 ZwQueryDirectoryFile
       1345  540 00026FA8 ZwQueryDirectoryObject
       1346  541 00026FBC ZwQueryEaFile
       1347  542 00026FE4 ZwQueryFullAttributesFile
       1348  543 0002700C ZwQueryInformationFile
       1349  544 00027020 ZwQueryInformationJobObject
       1350  545 00027048 ZwQueryInformationProcess
       1351  546 0002705C ZwQueryInformationThread
       1352  547 00027070 ZwQueryInformationToken
       1353  548 00027084 ZwQueryInstallUILanguage
       1354  549 000270C0 ZwQueryKey
       1355  54A 000270FC ZwQueryObject
       1356  54B 0002714C ZwQuerySection
       1357  54C 00027160 ZwQuerySecurityObject
       1358  54D 00027188 ZwQuerySymbolicLinkObject
       1359  54E 000271C4 ZwQuerySystemInformation
       1360  54F 00027214 ZwQueryValueKey
       1361  550 0002723C ZwQueryVolumeInformationFile
       1362  551 0002728C ZwReadFile
       1363  552 00027354 ZwReplaceKey
       1364  553 000273E0 ZwRequestWaitReplyPort
       1365  554 00027408 ZwResetEvent
       1366  555 00027430 ZwRestoreKey
       1367  556 0002746C ZwSaveKey
       1368  557 00027480 ZwSaveKeyEx
       1369  558 000274BC ZwSetBootEntryOrder
       1370  559 000274D0 ZwSetBootOptions
       1371  55A 00027520 ZwSetDefaultLocale
       1372  55B 00027534 ZwSetDefaultUILanguage
       1373  55C 00027548 ZwSetEaFile
       1374  55D 0002755C ZwSetEvent
       1375  55E 000275C0 ZwSetInformationFile
       1376  55F 000275D4 ZwSetInformationJobObject
       1377  560 000275FC ZwSetInformationObject
       1378  561 00027610 ZwSetInformationProcess
       1379  562 00027624 ZwSetInformationThread
       1380  563 000276C4 ZwSetSecurityObject
       1381  564 00027700 ZwSetSystemInformation
       1382  565 00027728 ZwSetSystemTime
       1383  566 00027750 ZwSetTimer
       1384  567 0002778C ZwSetValueKey
       1385  568 000277A0 ZwSetVolumeInformationFile
       1386  569 00027840 ZwTerminateJobObject
       1387  56A 00027854 ZwTerminateProcess
       1388  56B 000278A4 ZwTranslateFilePath
       1389  56C 000278B8 ZwUnloadDriver
       1390  56D 000278CC ZwUnloadKey
       1391  56E 0002791C ZwUnmapViewOfSection
       1392  56F 00027958 ZwWaitForMultipleObjects
       1393  570 0002796C ZwWaitForSingleObject
       1394  571 000279A8 ZwWriteFile
       1395  572 000279F8 ZwYieldExecution
       1396  573 0005D920 _CIcos
       1397  574 0005D9E0 _CIsin
       1398  575 0005DAA0 _CIsqrt
       1399  576 0005DC2B _abnormal_termination
       1400  577 0005DC80 _alldiv
       1401  578 0005DD30 _alldvrm
       1402  579 0005DE20 _allmul
       1403  57A 0005DE5C _alloca_probe
       1404  57B 0005DEA0 _allrem
       1405  57C 0005DF60 _allshl
       1406  57D 0005DF90 _allshr
       1407  57E 0005DFC0 _aulldiv
       1408  57F 0005E030 _aulldvrm
       1409  580 0005E0D0 _aullrem
       1410  581 0005E150 _aullshr
       1411  582 0005E178 _except_handler2
       1412  583 0005E230 _except_handler3
       1413  584 0005DB60 _global_unwind2
       1414  585 0005E37F _itoa
       1415  586 0005E405 _itow
       1416  587 0005DBBB _local_unwind2
       1417  588 0005D0D2 _purecall
       1418  589 0005E434 _snprintf
       1419  58A 0005E492 _snwprintf
       1420  58B 0005E509 _stricmp
       1421  58C 0005E519 _strlwr
       1422  58D 0005E546 _strnicmp
       1423  58E 0005E560 _strnset
       1424  58F 0005E590 _strrev
       1425  590 0005E5D0 _strset
       1426  591 0005E5F5 _strupr
       1427  592 0005E622 _vsnprintf
       1428  593 0005E67F _vsnwprintf
       1429  594 0005E6F5 _wcsicmp
       1430  595 0005E749 _wcslwr
       1431  596 0005E77F _wcsnicmp
       1432  597 0005E7DF _wcsnset
       1433  598 0005E80F _wcsrev
       1434  599 0005E84B _wcsupr
       1435  59A 0005E906 atoi
       1436  59B 0005E881 atol
       1437  59C 0005EA69 isdigit
       1438  59D 0005EA36 islower
       1439  59E 0005EB07 isprint
       1440  59F 0005EAD4 isspace
       1441  5A0 0005EA03 isupper
       1442  5A1 0005EA9C isxdigit
       1443  5A2 0005EB56 mbstowcs
       1444  5A3 0005EBCC mbtowc
       1445  5A4 0005EC20 memchr
       1446  5A5 0005ECD0 memcpy
       1447  5A6 0005F010 memmove
       1448  5A7 0005F350 memset
       1449  5A8 0005F440 qsort
       1450  5A9 0005F6C0 rand
       1451  5AA 0005F6E8 sprintf
       1452  5AB 0005F6AC srand
       1453  5AC 0005F760 strcat
       1454  5AD 0005F860 strchr
       1455  5AE 0005F930 strcmp
       1456  5AF 0005F750 strcpy
       1457  5B0 0005F9C0 strlen
       1458  5B1 0005FA40 strncat
       1459  5B2 0005FB70 strncmp
       1460  5B3 0005FBB0 strncpy
       1461  5B4 0005FCC0 strrchr
       1462  5B5 0005FCF0 strspn
       1463  5B6 0005FD40 strstr
       1464  5B7 0005FDC5 swprintf
       1465  5B8 0005FE3B tolower
       1466  5B9 0005FE76 toupper
       1467  5BA 0005FECC towlower
       1468  5BB 0005FEEF towupper
       1469  5BC 00050294 vDbgPrintEx
       1470  5BD 0004FFD2 vDbgPrintExWithPrefix
       1471  5BE 0005FF03 vsprintf
       1472  5BF 0005FF61 wcscat
       1473  5C0 0005FFB8 wcschr
       1474  5C1 0005FFE3 wcscmp
       1475  5C2 0005FF94 wcscpy
       1476  5C3 0006001F wcscspn
       1477  5C4 0006006A wcslen
       1478  5C5 00060089 wcsncat
       1479  5C6 000600CD wcsncmp
       1480  5C7 00060109 wcsncpy
       1481  5C8 0006014E wcsrchr
       1482  5C9 00060187 wcsspn
       1483  5CA 000601D5 wcsstr
       1484  5CB 0006023B wcstombs
       1485  5CC 000602BB wctomb
DUMPBIN : warning LNK4078: multiple 'PAGEKD' sections found with different attributes (C0000040)
DUMPBIN : warning LNK4078: multiple 'PAGECONS' sections found with different attributes (C0000040)

  Summary

       16E00 .data
        B580 .edata
       10480 .reloc
       10780 .rsrc
       6AA00 .text
       2AA00 INIT
        1A80 INITCONS
          80 INITDATA
         700 MISYSPTE
       E0200 PAGE
        3080 PAGECONS
         200 PAGECONS
        1600 PAGEDATA
        1E00 PAGEHDLS
        3E00 PAGEKD
        C080 PAGEKD
        E080 PAGELK
         100 PAGELKCO
         E80 PAGESPEC
        3480 PAGEVRFC
         680 PAGEVRFD
        EB00 PAGEVRFY
        1800 PAGEWMI
        1300 POOLCODE
        1200 POOLMI
